,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Gender_Female,Gender_Male,Customer Type_Loyal Customer,Customer Type_disloyal Customer,Type of Travel_Business travel,Type of Travel_Personal Travel,Class_Business,Class_Eco,Class_Eco Plus,satisfaction_neutral or dissatisfied,satisfaction_satisfied
74,45,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
78,50,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0.0,1,0,0,1,1,0,0,1,0,1,0
79,41,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0.0,1,0,0,1,1,0,1,0,0,1,0
81,25,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0.0,1,0,0,1,1,0,0,1,0,1,0
83,21,861,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0.0,1,0,0,1,1,0,1,0,0,0,1
86,57,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0.0,1,0,1,0,0,1,0,0,1,1,0
87,44,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0.0,0,1,1,0,0,1,0,1,0,1,0
88,45,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0.0,0,1,1,0,1,0,1,0,0,0,1
90,60,931,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0.0,0,1,1,0,0,1,0,1,0,0,1
101,19,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
102,29,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
103,27,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0.0,1,0,0,1,1,0,0,0,1,1,0
104,22,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0.0,0,1,0,1,1,0,1,0,0,0,1
106,11,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0.0,0,1,0,1,1,0,0,1,0,1,0
109,26,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0.0,1,0,1,0,0,1,0,1,0,1,0
114,35,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
117,45,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
122,11,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0.0,0,1,1,0,0,1,0,1,0,1,0
125,34,374,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
128,22,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0.0,0,1,1,0,0,1,0,1,0,1,0
129,8,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0.0,0,1,1,0,1,0,0,1,0,0,1
133,31,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0.0,0,1,1,0,1,0,1,0,0,1,0
135,27,588,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
136,47,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
137,24,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0.0,0,1,1,0,1,0,1,0,0,1,0
139,32,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
141,12,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
142,56,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0.0,1,0,1,0,1,0,1,0,0,1,0
148,55,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
149,54,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0.0,1,0,1,0,0,1,1,0,0,1,0
152,29,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0.0,1,0,0,1,1,0,1,0,0,1,0
154,50,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
157,24,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0.0,0,1,0,1,1,0,0,1,0,1,0
158,60,1071,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0.0,1,0,1,0,1,0,1,0,0,0,1
160,57,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
162,20,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0.0,0,1,0,1,1,0,0,1,0,0,1
164,45,1790,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
171,49,317,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
174,25,2748,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
175,16,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0.0,1,0,1,0,1,0,1,0,0,1,0
176,58,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
179,52,2768,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0.0,1,0,1,0,1,0,1,0,0,1,0
180,47,370,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0.0,1,0,1,0,1,0,0,1,0,0,1
182,47,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0.0,1,0,1,0,0,1,0,1,0,1,0
183,41,3636,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0.0,1,0,1,0,1,0,1,0,0,0,1
191,12,462,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0.0,0,1,1,0,0,1,0,1,0,1,0
192,31,361,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0.0,0,1,1,0,1,0,0,1,0,1,0
194,38,271,4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0.0,1,0,1,0,0,1,0,1,0,0,1
195,45,173,2,5,0,1,2,0,5,2,5,5,4,4,4,2,0,0.0,0,1,1,0,0,1,0,1,0,1,0
196,43,1950,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
198,57,153,3,4,4,4,5,3,4,2,2,2,3,4,2,2,0,0.0,1,0,1,0,1,0,1,0,0,1,0
206,45,666,2,5,2,4,4,2,4,4,4,5,5,4,5,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
210,19,2172,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
212,64,1773,2,4,3,4,5,3,3,2,2,3,2,4,2,4,0,0.0,1,0,1,0,1,0,1,0,0,1,0
217,29,1020,1,4,1,4,1,1,1,1,3,3,3,4,3,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
218,47,368,5,1,2,1,4,5,4,4,5,5,2,4,3,4,0,0.0,0,1,1,0,1,0,0,0,1,0,1
220,18,1127,2,5,2,3,3,2,3,3,4,4,4,3,5,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
222,41,3238,2,2,2,2,5,4,5,4,4,4,4,3,4,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
223,12,2466,2,4,2,3,1,2,1,1,4,4,5,4,4,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
224,36,2715,2,3,2,3,2,3,2,4,5,3,3,2,3,2,0,0.0,1,0,1,0,0,1,0,1,0,1,0
226,55,1608,2,2,2,4,2,3,4,5,5,2,5,3,5,2,0,0.0,1,0,1,0,0,1,0,1,0,1,0
230,45,1521,1,1,3,1,3,5,4,5,5,5,5,4,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
235,48,1722,4,5,4,4,4,2,3,4,4,4,4,2,4,1,0,0.0,0,1,1,0,1,0,1,0,0,0,1
240,37,977,3,4,4,4,3,3,3,3,2,2,3,3,3,3,0,0.0,1,0,1,0,1,0,0,1,0,1,0
245,48,1943,1,1,1,1,3,5,5,5,5,5,5,4,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
250,19,405,2,2,2,4,1,2,1,1,3,2,4,4,3,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
251,26,1055,3,3,3,4,4,3,4,4,3,5,4,2,4,4,0,0.0,1,0,0,1,1,0,0,1,0,1,0
254,45,1587,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
255,51,3090,2,4,4,4,3,3,4,2,2,2,2,4,2,1,0,0.0,0,1,1,0,1,0,1,0,0,1,0
257,12,719,3,4,3,3,1,3,1,1,5,2,4,4,4,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
259,45,550,4,2,4,4,4,4,4,4,4,4,3,5,5,4,0,0.0,0,1,1,0,1,0,0,1,0,0,1
261,53,552,4,4,4,1,4,5,4,5,5,4,5,4,5,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
270,58,813,1,1,1,1,5,5,5,3,3,3,3,5,3,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
271,55,349,2,3,2,3,2,3,5,2,2,2,2,5,2,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
273,15,89,3,5,3,4,5,3,1,5,5,5,4,3,5,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
277,42,718,5,1,4,1,3,3,3,5,5,5,5,3,5,1,0,0.0,1,0,1,0,1,0,0,1,0,0,1
298,52,685,4,4,4,5,4,4,4,4,3,4,5,5,4,4,0,0.0,0,1,1,0,0,1,0,1,0,0,1
310,40,156,1,1,1,5,4,1,2,4,2,4,5,5,2,4,0,0.0,1,0,0,1,1,0,1,0,0,1,0
313,50,1235,5,5,5,5,3,4,4,5,5,5,5,4,5,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
314,18,549,2,5,2,3,2,2,2,2,5,5,4,5,4,2,0,0.0,1,0,1,0,0,1,0,0,1,1,0
315,30,1500,3,3,3,3,5,4,5,5,4,3,4,3,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
316,26,190,3,2,3,3,1,3,1,1,4,5,4,3,3,1,0,0.0,1,0,0,1,1,0,0,1,0,1,0
317,37,468,4,4,4,4,4,4,4,4,4,4,4,4,5,4,0,0.0,0,1,0,1,1,0,1,0,0,0,1
318,64,261,1,4,0,3,1,0,1,1,3,1,3,3,4,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
319,21,255,5,0,5,1,2,5,2,2,5,4,5,3,4,2,0,0.0,0,1,0,1,1,0,1,0,0,0,1
322,29,119,2,2,2,2,5,2,2,5,4,5,3,2,3,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
324,28,1087,1,1,3,1,5,5,5,5,3,2,4,5,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
328,24,347,3,0,3,1,5,3,5,5,3,5,4,5,3,5,0,0.0,0,1,0,1,1,0,0,1,0,1,0
329,25,3465,2,4,4,4,2,2,2,2,4,5,3,4,3,2,0,0.0,0,1,1,0,1,0,1,0,0,1,0
330,34,948,2,4,2,2,4,2,4,4,4,3,4,3,5,4,0,0.0,0,1,1,0,0,1,0,1,0,1,0
331,44,1707,5,5,5,5,5,5,3,5,5,5,5,2,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
332,23,1372,3,5,3,1,1,3,1,1,3,2,3,4,5,1,0,0.0,1,0,1,0,0,1,0,0,1,1,0
333,20,369,5,3,5,4,1,5,1,1,5,2,4,4,4,1,0,0.0,0,1,0,1,1,0,1,0,0,0,1
339,27,429,4,5,4,3,3,4,1,3,5,3,4,4,4,3,0,0.0,0,1,1,0,0,1,0,1,0,1,0
343,36,327,2,2,2,3,5,2,5,5,5,4,5,3,4,5,0,0.0,1,0,0,1,1,0,1,0,0,1,0
344,55,432,4,4,2,1,5,4,4,3,3,2,2,4,3,5,0,0.0,0,1,1,0,0,1,1,0,0,1,0
345,23,577,0,0,1,1,5,1,5,5,4,2,4,2,1,5,0,0.0,1,0,0,1,1,0,0,1,0,0,1
356,28,101,2,1,1,1,2,2,2,2,2,2,3,2,4,2,0,0.0,0,1,1,0,1,0,1,0,0,1,0
363,55,936,3,3,3,3,5,5,5,3,3,3,3,5,3,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
365,46,888,3,3,3,3,5,4,4,4,4,4,4,3,4,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
366,62,1061,0,5,0,3,5,0,5,5,4,4,5,5,5,5,0,0.0,0,1,1,0,0,1,0,1,0,0,1
367,53,216,5,5,4,5,5,5,4,5,5,5,5,5,5,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
368,50,1814,3,3,3,3,2,5,4,5,5,5,5,5,5,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
370,54,2632,3,3,3,3,2,5,4,3,3,4,3,3,3,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
371,42,199,1,1,1,1,5,4,5,5,5,5,4,5,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
375,37,174,5,3,5,3,5,5,5,5,5,1,5,3,5,5,0,0.0,1,0,1,0,1,0,0,0,1,0,1
376,35,326,4,2,2,2,4,4,4,4,2,5,5,5,3,4,0,0.0,0,1,1,0,1,0,0,1,0,0,1
378,16,1437,1,5,0,4,5,0,5,5,3,3,4,4,4,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
381,70,1892,1,4,1,3,1,1,1,1,4,4,4,4,3,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
383,46,2491,3,3,3,3,4,4,5,4,4,4,4,5,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
385,25,496,4,4,4,4,4,4,4,4,3,2,5,4,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
386,63,329,2,2,2,2,5,1,5,4,4,4,4,4,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
390,32,2133,4,4,4,4,4,4,4,4,5,2,5,3,4,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
395,51,140,2,1,3,1,1,3,3,3,3,3,2,2,3,2,0,0.0,1,0,1,0,1,0,1,0,0,1,0
396,22,451,2,4,2,3,2,2,2,2,3,5,5,4,5,2,0,0.0,1,0,1,0,0,1,0,1,0,1,0
400,43,373,2,5,2,2,2,5,4,5,5,5,5,5,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
406,35,602,4,4,4,4,3,5,5,2,2,2,2,5,2,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
409,17,677,0,3,0,3,4,3,4,4,4,5,5,5,5,4,0,0.0,1,0,1,0,1,0,0,1,0,0,1
412,38,285,5,5,5,5,1,1,3,4,4,4,4,5,4,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
414,23,1021,2,2,2,3,3,2,3,3,3,5,5,5,4,3,0,0.0,0,1,0,1,1,0,0,1,0,0,1
419,9,804,1,5,1,3,1,1,1,1,5,2,5,3,5,1,0,0.0,1,0,1,0,0,1,0,0,1,1,0
422,40,1620,2,2,2,2,4,3,4,5,5,5,5,4,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
423,56,1173,3,3,5,3,4,4,4,3,3,3,3,3,3,1,0,0.0,0,1,1,0,1,0,1,0,0,1,0
425,18,134,2,2,2,3,3,2,4,3,2,4,3,4,3,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
426,8,647,3,2,3,3,2,3,5,2,2,4,3,3,2,2,0,0.0,1,0,1,0,0,1,0,0,1,1,0
428,46,2623,3,3,3,3,3,5,4,5,5,5,5,3,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
431,26,1629,1,1,1,1,5,5,5,5,4,4,2,3,3,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
433,31,2201,5,5,5,5,2,2,2,2,5,3,3,3,1,2,0,0.0,0,1,1,0,1,0,1,0,0,0,1
438,27,399,1,0,1,4,5,1,5,5,5,1,3,2,1,5,0,0.0,1,0,0,1,1,0,0,1,0,1,0
447,43,888,5,1,5,3,4,1,4,4,4,4,4,2,4,4,0,0.0,0,1,0,1,0,1,0,1,0,0,1
448,44,288,5,5,5,5,4,5,4,4,4,5,4,4,4,4,0,0.0,1,0,0,1,1,0,1,0,0,0,1
450,48,3185,2,2,2,2,5,5,4,5,5,5,5,5,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
454,39,2454,5,5,5,5,5,5,4,5,5,5,5,5,5,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
455,24,3482,5,5,5,5,4,4,4,4,3,2,5,4,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
456,48,296,2,5,4,3,4,4,4,2,2,4,2,3,2,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
460,57,1389,1,1,3,1,5,5,4,5,5,5,5,4,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
461,21,1947,2,4,2,3,1,2,1,1,4,2,3,5,4,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
463,24,3536,5,5,5,5,4,4,4,4,3,5,5,3,5,4,0,0.0,1,0,1,0,1,0,1,0,0,0,1
464,36,414,3,3,3,5,3,3,3,3,4,2,5,4,5,3,0,0.0,0,1,0,1,1,0,1,0,0,1,0
465,44,3165,2,2,2,2,4,5,5,4,4,4,4,5,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
467,42,3605,4,4,4,4,3,5,4,4,4,4,4,4,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
468,52,247,4,4,0,2,5,4,4,5,5,0,5,3,5,3,0,0.0,1,0,1,0,0,1,0,1,0,0,1
469,52,550,2,4,4,4,2,2,2,2,3,5,3,4,3,2,0,0.0,0,1,1,0,1,0,0,1,0,1,0
470,20,446,4,3,4,3,1,4,1,1,3,4,4,2,4,1,0,0.0,0,1,1,0,0,1,0,1,0,1,0
480,22,251,1,0,1,3,2,1,3,2,4,2,5,4,3,2,0,0.0,0,1,0,1,1,0,0,1,0,1,0
489,33,226,1,4,1,1,2,1,2,2,3,4,4,4,5,2,0,0.0,1,0,1,0,0,1,0,1,0,1,0
490,10,338,1,5,3,3,5,3,4,5,4,2,4,5,4,5,0,0.0,1,0,1,0,0,1,0,0,1,1,0
494,49,90,4,4,2,4,3,4,4,4,4,4,4,4,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
496,40,399,3,4,3,1,1,3,1,1,5,1,2,5,1,1,0,0.0,1,0,1,0,0,1,0,1,0,1,0
497,29,802,2,3,2,4,2,2,2,2,3,2,4,4,3,2,0,0.0,1,0,1,0,0,1,0,0,1,1,0
498,68,406,3,3,3,2,3,3,3,3,5,3,3,4,5,3,0,0.0,0,1,1,0,0,1,0,1,0,1,0
512,49,484,3,4,3,3,3,5,4,4,4,3,4,5,4,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
513,31,2279,1,5,1,2,3,1,3,3,5,3,5,3,5,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
521,32,163,2,4,4,4,2,2,2,2,3,2,4,2,3,2,0,0.0,1,0,1,0,1,0,0,1,0,1,0
524,38,261,2,2,5,2,4,5,3,4,4,4,4,3,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
528,43,301,3,4,3,3,5,4,5,4,4,3,2,4,4,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
530,45,3052,1,1,5,1,3,5,4,3,3,3,3,5,3,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
532,25,2585,3,3,3,4,3,3,3,3,2,5,4,3,4,3,0,0.0,0,1,0,1,1,0,0,1,0,1,0
534,64,3239,3,5,3,3,3,5,4,4,4,5,4,3,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
541,54,544,2,2,2,2,5,5,5,4,4,4,4,4,4,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
543,47,783,5,2,2,2,5,5,5,5,4,1,1,4,5,5,0,0.0,0,1,1,0,1,0,0,1,0,0,1
544,24,255,5,0,5,1,3,5,4,3,5,3,4,4,5,3,0,0.0,1,0,0,1,1,0,1,0,0,0,1
547,38,2472,5,5,3,5,3,4,4,5,5,5,5,3,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
548,45,175,3,1,1,1,1,1,5,3,3,3,3,3,3,1,0,0.0,1,0,1,0,1,0,0,1,0,0,1
549,29,331,2,5,2,2,3,2,3,3,5,3,5,3,5,3,0,0.0,1,0,1,0,0,1,0,0,1,1,0
554,64,1158,1,4,0,1,4,5,5,4,4,0,4,4,4,3,0,0.0,1,0,1,0,0,1,0,1,0,1,0
560,39,1979,3,3,3,3,3,5,4,4,4,4,4,3,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
563,41,2077,2,2,2,2,5,3,5,5,5,5,5,3,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
564,51,3304,2,2,2,2,5,5,5,5,5,5,5,4,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
565,42,2274,2,2,2,2,3,2,2,5,5,5,5,3,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
566,51,1084,5,5,5,5,3,5,4,4,4,4,4,5,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
567,50,2335,5,5,5,5,4,5,5,4,4,5,4,5,4,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
568,48,1851,1,2,1,1,2,5,5,4,4,4,4,5,4,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
570,20,1269,2,2,2,4,3,2,3,3,3,3,3,3,4,3,0,0.0,0,1,0,1,1,0,0,1,0,1,0
575,55,1440,2,2,2,2,5,4,5,5,5,5,5,5,5,3,0,0.0,1,0,1,0,1,0,1,0,0,0,1
577,52,3496,5,5,5,5,3,4,5,5,5,5,5,4,5,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
580,43,253,5,5,5,5,5,2,1,5,5,5,5,3,5,5,0,0.0,1,0,1,0,1,0,1,0,0,0,1
583,51,2093,1,1,1,1,3,4,4,4,4,5,4,5,4,3,0,0.0,0,1,1,0,1,0,1,0,0,0,1
586,35,668,2,2,2,2,5,2,5,5,4,5,5,4,4,5,0,0.0,1,0,0,1,1,0,1,0,0,1,0
589,34,2627,1,1,1,1,3,4,1,5,5,5,5,5,5,4,0,0.0,0,1,1,0,1,0,1,0,0,0,1
591,39,813,1,1,1,4,2,1,2,2,2,3,3,3,3,2,0,0.0,0,1,0,1,1,0,0,1,0,1,0
594,44,373,5,1,1,1,5,5,5,5,2,1,2,5,5,5,0,0.0,0,1,1,0,1,0,0,1,0,0,1
595,66,1097,4,3,4,3,4,4,5,3,3,4,3,5,3,2,0,0.0,1,0,1,0,0,1,0,1,0,1,0
597,65,745,3,5,4,4,1,2,5,3,3,4,1,4,3,5,0,0.0,1,0,1,0,0,1,0,1,0,1,0
602,58,1208,3,3,4,4,2,4,2,2,2,1,4,4,4,2,0,0.0,0,1,1,0,0,1,0,0,1,1,0
605,25,1009,0,5,0,4,5,0,5,5,5,3,5,3,4,5,0,0.0,0,1,1,0,0,1,0,1,0,0,1
606,26,1303,2,2,2,4,3,2,3,3,2,2,3,2,3,3,0,0.0,1,0,0,1,1,0,0,1,0,1,0
608,52,1517,4,5,4,4,3,4,3,3,4,2,5,5,4,3,0,0.0,0,1,1,0,0,1,0,1,0,0,1
609,26,2836,5,5,5,5,5,5,5,5,3,4,4,3,5,5,0,0.0,0,1,1,0,1,0,1,0,0,0,1
611,50,2350,3,1,1,1,4,4,3,3,3,3,3,3,3,1,0,0.0,0,1,1,0,1,0,1,0,0,1,0
613,25,483,0,4,0,4,5,0,5,5,4,4,5,5,5,5,0,0.0,0,1,0,1,1,0,1,0,0,0,1
615,43,2588,0,5,0,1,0,5,5,3,4,5,5,5,5,5,0,0.0,0,1,1,0,0,1,0,1,0,0,1
